modelo,cilindrada,potencia,combustible,revoluciones,cilindros,longitud,ancho,altura,maletero,peso,plazas,velocidad,poca_aceleracion,traccion,consumo,coste.Km,precio,marca,precio_categ
'CADILLAC-Eldorado Aut.',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(3.8e+03,5e+03]",Ncil_8,"Long_(480,550]","Anch_(175,200]","Alt_(110,136]","Malet_(280,400]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(11.3,20]","Cost_(17.5,30]",8150,CADILLAC,luxury
'CADILLAC-Seville Aut.',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(3.8e+03,5e+03]",Ncil_8,"Long_(480,550]","Anch_(175,200]","Alt_(110,136]","Malet_(280,400]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(11.3,20]","Cost_(17.5,30]",8300,CADILLAC,luxury
'CITROEN-AX 11',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(110,136]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(11,13.5]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1074,CITROEN,cheap
'CITROEN-AX 14',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(110,136]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(9.7,11]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1225,CITROEN,cheap
'CITROEN-AX 14 D',"Cil_(900,1.5e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(110,136]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1297,CITROEN,cheap
'CITROEN-AX GT',"Cil_(900,1.5e+03]","Pot_(75,105]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(110,136]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(170,185]","Acel_(8.3,9.7]",Delantera,"Cons_(4.5,7.6]","Cost_(11.5,13.5]",1369,CITROEN,cheap
'CITROEN-BX 14 TE',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(400,450]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(11,13.5]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1533,CITROEN,cheap
'CITROEN-BX 16 TS',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(400,450]","Pes_(640,940]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1668,CITROEN,cheap
'CITROEN-BX 19 GTI',"Cil_(1.8e+03,2e+03]","Pot_(105,130]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(400,450]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(185,200]","Acel_(8.3,9.7]",Delantera,"Cons_(9.5,11.3]","Cost_(13.5,15]",2242,CITROEN,medium
'CITROEN-BX 19 GTI 16v',"Cil_(1.8e+03,2e+03]","Pot_(130,180]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(400,450]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(4.5,8.3]",Delantera,"Cons_(9.5,11.3]","Cost_(15,17.5]",3105,CITROEN,expensive
'CITROEN-BX 19 TD',"Cil_(1.8e+03,2e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(400,450]","Pes_(940,1e+03]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1971,CITROEN,medium
'CITROEN-BX 19 TGD Break',"Cil_(1.8e+03,2e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(141,143]","Malet_(500,700]","Pes_(1e+03,1.2e+03]",Plaz_7,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",2350,CITROEN,medium
'CITROEN-BX 19 TGS',"Cil_(1.8e+03,2e+03]","Pot_(75,105]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(400,450]","Pes_(940,1e+03]",Plaz_5,"Vel_(170,185]","Acel_(9.7,11]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1930,CITROEN,medium
'CITROEN-BX 19 TZS Break',"Cil_(1.8e+03,2e+03]","Pot_(75,105]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(141,143]","Malet_(500,700]","Pes_(1e+03,1.2e+03]",Plaz_7,"Vel_(170,185]","Acel_(9.7,11]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",2415,CITROEN,medium
'CITROEN-BX 4x4',"Cil_(1.8e+03,2e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(400,450]","Pes_(940,1e+03]",Plaz_5,"Vel_(170,185]","Acel_(9.7,11]",4x4,"Cons_(9.5,11.3]","Cost_(13.5,15]",2611,CITROEN,medium
'CITROEN-BX TD',"Cil_(1.5e+03,1.8e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(400,450]","Pes_(940,1e+03]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1814,CITROEN,medium
'CITROEN-BX TZD Turbo',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(400,430]","Anch_(160,168]","Alt_(110,136]","Malet_(400,450]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(170,185]","Acel_(9.7,11]",Delantera,"Cons_(7.6,8.5]","Cost_(6.5,11.5]",2620,CITROEN,medium
'CITROEN-XM 2.0 I Grand Luxe',"Cil_(1.8e+03,2e+03]","Pot_(105,130]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(136,139]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(11,13.5]",Delantera,"Cons_(8.5,9.5]","Cost_(15,17.5]",3937,CITROEN,expensive
'CITROEN-XM Diesel',"Cil_(2e+03,2.6e+03]","Pot_(75,105]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(136,139]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(170,185]","Acel_(13.5,25]",Delantera,"Cons_(7.6,8.5]","Cost_(6.5,11.5]",3363,CITROEN,expensive
'CITROEN-XM Turbo Diesel',"Cil_(2e+03,2.6e+03]","Pot_(105,130]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(136,139]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(185,200]","Acel_(11,13.5]",Delantera,"Cons_(7.6,8.5]","Cost_(6.5,11.5]",4133,CITROEN,expensive
'CITROEN-XM V6 24 Exclusive',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(450,480]","Anch_(175,200]","Alt_(136,139]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Delantera,"Cons_(11.3,20]","Cost_(17.5,30]",5832,CITROEN,luxury
'CITROEN-XM V6 I',"Cil_(2.6e+03,8e+03]","Pot_(130,180]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_6,"Long_(450,480]","Anch_(175,200]","Alt_(136,139]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(8.3,9.7]",Delantera,"Cons_(11.3,20]","Cost_(17.5,30]",4886,CITROEN,expensive
'CITROEN-ZX 1.4',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(168,170]","Alt_(139,141]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1546,CITROEN,cheap
'CITROEN-ZX 1.6',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_4,"Long_(400,430]","Anch_(168,170]","Alt_(139,141]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1646,CITROEN,cheap
'CITROEN-ZX Volcane 1.9',"Cil_(1.8e+03,2e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(170,175]","Alt_(136,139]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(4.5,8.3]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",2146,CITROEN,medium
'FERRARI-348',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_8,"Long_(400,430]","Anch_(175,200]","Alt_(110,136]","Malet_[0,280]","Pes_(1.2e+03,1.4e+03]",Plaz_2,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(9.5,11.3]","Cost_(15,17.5]",16951,FERRARI,luxury
'FERRARI-F-40',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_8,"Long_(430,450]","Anch_(175,200]","Alt_(110,136]","Malet_[0,280]","Pes_(1e+03,1.2e+03]",Plaz_2,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",50000,FERRARI,luxury
'FERRARI-Mondial T',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_8,"Long_(450,480]","Anch_(175,200]","Alt_(110,136]","Malet_(280,400]","Pes_(1.4e+03,2.5e+03]",Plaz_2,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",16623,FERRARI,luxury
'FERRARI-Testarossa',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_8,"Long_(430,450]","Anch_(175,200]","Alt_(110,136]","Malet_[0,280]","Pes_(1.4e+03,2.5e+03]",Plaz_2,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",29006,FERRARI,luxury
'FIAT-Croma 2.0 IE',"Cil_(1.8e+03,2e+03]","Pot_(105,130]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(141,143]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(8.5,9.5]","Cost_(13.5,15]",2824,FIAT,medium
'FIAT-Croma CHT',"Cil_(1.8e+03,2e+03]","Pot_(75,105]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(141,143]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(8.5,9.5]","Cost_(13.5,15]",2439,FIAT,medium
'FIAT-Croma Turbo DS 2.5',"Cil_(2e+03,2.6e+03]","Pot_(105,130]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(141,143]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(7.6,8.5]","Cost_(6.5,11.5]",3124,FIAT,expensive
'FIAT-Croma Turbo DS ID 2.0',"Cil_(1.8e+03,2e+03]","Pot_(75,105]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(141,143]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",2743,FIAT,medium
'FIAT-Croma ie Turbo',"Cil_(1.8e+03,2e+03]","Pot_(130,180]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(450,480]","Anch_(175,200]","Alt_(141,143]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(4.5,8.3]",Delantera,"Cons_(8.5,9.5]","Cost_(13.5,15]",3759,FIAT,expensive
'FIAT-Panda 1000 S Fire',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(141,143]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",909,FIAT,cheap
'FIAT-Panda Sisley 4x4',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(143,200]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",4x4,"Cons_(4.5,7.6]","Cost_(11.5,13.5]",1169,FIAT,cheap
'FIAT-Tempra 1.4',"Cil_(900,1.5e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(143,200]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1767,FIAT,cheap
'FIAT-Tempra 1.4 SW',"Cil_(900,1.5e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(143,200]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_7,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1833,FIAT,medium
'FIAT-Tempra 1.6',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(143,200]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1932,FIAT,medium
'FIAT-Tempra 1.8 SW IE',"Cil_(1.5e+03,1.8e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(143,200]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_7,"Vel_(170,185]","Acel_(9.7,11]",Delantera,"Cons_(8.5,9.5]","Cost_(11.5,13.5]",2297,FIAT,medium
'FIAT-Tempra 1.8 ie SX',"Cil_(1.5e+03,1.8e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(143,200]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(8.5,9.5]","Cost_(11.5,13.5]",2115,FIAT,medium
'FIAT-Tempra 1.9 D',"Cil_(1.8e+03,2e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(143,200]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1931,FIAT,medium
'FIAT-Tempra 1.9 SW D',"Cil_(1.8e+03,2e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(143,200]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_7,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",2144,FIAT,medium
'FIAT-Tempra 1.9 SW TD SX',"Cil_(1.8e+03,2e+03]","Pot_(75,105]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(143,200]","Malet_(450,500]","Pes_(1.2e+03,1.4e+03]",Plaz_7,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",2578,FIAT,medium
'FIAT-Tempra 1.9 TD SX',"Cil_(1.8e+03,2e+03]","Pot_(75,105]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(143,200]","Malet_(450,500]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",2397,FIAT,medium
'FIAT-Tipo 1.4',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(300,400]","Anch_(168,170]","Alt_(143,200]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(110,170]","Acel_(11,13.5]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1620,FIAT,cheap
'FIAT-Tipo 1.6',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(300,400]","Anch_(168,170]","Alt_(143,200]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(4.5,7.6]","Cost_(11.5,13.5]",1773,FIAT,cheap
'FIAT-Tipo 1.8 ie DGT',"Cil_(1.5e+03,1.8e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(300,400]","Anch_(168,170]","Alt_(143,200]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1939,FIAT,medium
'FIAT-Tipo 1.9 Turbo DGT',"Cil_(1.8e+03,2e+03]","Pot_(75,105]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(300,400]","Anch_(168,170]","Alt_(143,200]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",2217,FIAT,medium
'FIAT-Tipo 16v ie',"Cil_(1.5e+03,1.8e+03]","Pot_(130,180]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_4,"Long_(300,400]","Anch_(168,170]","Alt_(141,143]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(8.5,9.5]","Cost_(13.5,15]",2081,FIAT,medium
'FIAT-Uno 45',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(139,141]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1099,FIAT,cheap
'FIAT-Uno 60',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(139,141]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1148,FIAT,cheap
'FIAT-Uno 70',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(139,141]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(11,13.5]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1463,FIAT,cheap
'FIAT-Uno DS 1.7',"Cil_(1.5e+03,1.8e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(141,143]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1488,FIAT,cheap
'FIAT-Uno Turbo',"Cil_(900,1.5e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(139,141]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(200,220]","Acel_(4.5,8.3]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1889,FIAT,medium
'FIAT-Uno Turbo Diesel',"Cil_(900,1.5e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(139,141]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(11,13.5]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1525,FIAT,cheap
'FORD-Escort CLX 1.6',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(168,170]","Alt_(110,136]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(8.5,9.5]","Cost_(11.5,13.5]",1635,FORD,cheap
'FORD-Escort CLX 1.6 5p CAT',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(168,170]","Alt_(110,136]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(8.5,9.5]","Cost_(11.5,13.5]",1830,FORD,medium
'FORD-Escort CLX 1.8 D 5p',"Cil_(1.5e+03,1.8e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(400,430]","Anch_(168,170]","Alt_(110,136]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1635,FORD,cheap
'FORD-Escort Cabrio 1.6i 3p',"Cil_(1.5e+03,1.8e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(168,170]","Alt_(136,139]","Malet_(280,400]","Pes_(640,940]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Delantera,"Cons_(8.5,9.5]","Cost_(11.5,13.5]",2375,FORD,medium
'FORD-Escort Ghia 1.6',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(400,430]","Anch_(168,170]","Alt_(110,136]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Delantera,"Cons_(7.6,8.5]","Cost_(11.5,13.5]",1757,FORD,cheap
'FORD-Escort Ghia 1.8 D',"Cil_(1.5e+03,1.8e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(400,430]","Anch_(168,170]","Alt_(110,136]","Malet_(280,400]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1757,FORD,cheap
'FORD-Escort Prima 1.3 5p',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_4,"Long_(400,430]","Anch_(168,170]","Alt_(110,136]","Malet_(280,400]","Pes_(940,1e+03]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(8.5,9.5]","Cost_(11.5,13.5]",1545,FORD,cheap
'FORD-Fiesta 1.8 D Especial',"Cil_(1.5e+03,1.8e+03]","Pot_(35,75]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(110,136]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1437,FORD,cheap
'FORD-Fiesta CLX 1.1',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(110,136]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",Delantera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",1211,FORD,cheap
'FORD-Fiesta CLX 1.4',"Cil_(900,1.5e+03]","Pot_(35,75]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_4,"Long_(300,400]","Anch_(140,160]","Alt_(110,136]","Malet_[0,280]","Pes_(640,940]",Plaz_5,"Vel_(110,170]","Acel_(11,13.5]",Delantera,"Cons_(8.5,9.5]","Cost_(11.5,13.5]",1388,FORD,cheap
